id,x,y,z,group,tags
0,0.0,0.0,0.0,0,start
1,5.0,0.0,-0.89,0,
2,0.0,0.0,-0.57,0,
3,5.0,0.0,0.0,0,
4,11.0,0.0,0.0,0,
5,23.61,0.0,0.0,0,
6,40.8,0.0,-0.3,0,
7,186.54,0.0,-0.3,0,
8,450.72,0.0,5.9,0,
9,720.62,-21.56,12.25,0,
10,822.31,-46.23,14.7,0,
11,979.86,-84.45,14.7,0,
12,1012.42,-98.02,14.7,0,
13,1226.07,-187.11,9.79,0,
14,1272.03,-210.66,8.7,0,
15,1466.87,-310.52,8.7,0,
16,1709.34,-434.78,8.7,0,
17,1852.66,-508.24,12.54,0,
18,1898.69,-527.9,13.73,0,
19,2070.76,-601.42,9.15,0,
20,2299.71,-663.34,3.34,0,
21,2535.04,-692.8,-2.47,0,
22,2630.29,-691.37,-4.8,0,
23,2772.19,-689.22,-4.8,0,
24,3006.53,-652.67,-4.8,0,
25,3266.38,-570.94,-4.8,0,
26,3411.64,-512.08,-4.8,0,
27,3497.41,-477.33,-7.22,0,
28,3587.08,-443.91,-9.73,0,
29,3607.9,-437.46,-10.3,0,
30,3678.48,-415.59,-10.3,0,
31,3793.95,-383.34,-10.3,0,
32,3926.76,-346.24,-19.46,0,
33,4069.41,-307.45,-9.1,0,
34,4325.36,-236.03,-9.68,0,end
35,4317.21,-236.43,-9.94,1,
36,4294.33,-243.56,-10.03,1,
37,4294.39,-243.56,-17.05,1,
38,4300.12,-243.02,-17.83,1,
39,4292.69,-246.13,-18.38,1,
40,4275.19,-246.13,-17.95,1,
41,4285.66,-244.05,-17.05,1,
42,4285.66,-244.05,-9.94,1,
43,4069.41,-307.45,-9.63,1,
44,3926.76,-346.24,-19.99,1,
45,3793.95,-383.34,-10.82,1,
46,3678.48,-415.59,-10.82,1,
47,3607.9,-437.46,-10.82,1,
48,3587.08,-443.91,-10.24,1,
49,3497.41,-477.33,-7.75,1,
50,3411.64,-512.08,-5.32,1,
51,3266.38,-570.94,-5.32,1,
52,3006.53,-652.67,-5.32,1,
53,2772.19,-689.22,-5.32,1,
54,2630.29,-691.37,-5.32,1,
55,2535.04,-692.8,-2.99,1,
56,2299.71,-663.34,2.82,1,
57,2070.76,-601.42,8.62,1,
58,1898.69,-527.9,13.21,1,
59,1852.66,-508.24,12.01,1,
60,1709.34,-434.78,8.18,1,
61,1466.87,-310.52,8.18,1,
62,1272.03,-210.66,8.18,1,
63,1226.07,-187.11,9.27,1,
64,1012.42,-98.02,14.18,1,
65,979.86,-84.45,14.18,1,
66,822.31,-46.23,14.18,1,
67,720.62,-21.56,11.72,1,
68,450.72,0.0,5.37,1,
69,186.54,0.0,-0.82,1,
70,40.8,0.0,-0.82,1,
71,23.61,0.0,-0.52,1,
72,10.0,0.0,-0.84,1,
